15-25K·16薪,"数据分析师
北京·朝阳区·太阳宫
15-25K·16薪
在校/应届本科
朱先生数据科学家",北京·朝阳区·太阳宫
15-30K,"数据开发
杭州·西湖区·黄龙
15-30K
在校/应届硕士
林先生招聘者",杭州·西湖区·黄龙
17-25K·15薪,"大数据分析工程师-技术中台
上海·闵行区·虹梅路
17-25K·15薪
在校/应届本科
雷女士HRBP",上海·闵行区·虹梅路
18-35K,"安卓应用软件开发工程师 - 留学生校招
北京·海淀区·西北旺
18-35K
在校/应届本科
陀女士HR",北京·海淀区·西北旺
20-35K·15薪,"机器学习算法工程师
北京·朝阳区·酒仙桥
20-35K·15薪
在校/应届硕士
王女士HRBP",北京·朝阳区·酒仙桥
23-30K,"算法工程师
北京·海淀区·西北旺
23-30K
在校/应届硕士
李女士HR",北京·海淀区·西北旺
18-24K·15薪,"大数据算法工程师 (NLP方向)
广州·天河区·岑村
18-24K·15薪
在校/应届硕士
胡先生对话系统算法专家",广州·天河区·岑村
18-25K·14薪,"【校招/实习】大数据研发工程师(VSFP)
北京
18-25K·14薪
在校/应届本科
董女士HRBP",北京
19-30K·15薪,"前端工程师
北京·海淀区·上地
19-30K·15薪
在校/应届本科
胡先生经理",北京·海淀区·上地
15-30K,"高德-测试开发工程师-服务端
北京·朝阳区·望京
15-30K
在校/应届本科
孙女士高级测试开发专家",北京·朝阳区·望京
13-25K·14薪,"移动开发工程师（Android方向）
珠海·香洲区·唐家湾
13-25K·14薪
在校/应届本科
王女士招聘专员",珠海·香洲区·唐家湾
21-40K·16薪,"蚂蚁消费金融2021届补招
上海·浦东新区·陆家嘴
21-40K·16薪
在校/应届本科
陈先生技术专家",上海·浦东新区·陆家嘴
17-24K·13薪,"研发工程师（应届/校招）
北京·海淀区·西北旺
17-24K·13薪
在校/应届硕士
刘女士HRBP",北京·海淀区·西北旺
20-40K·15薪,"京东主站推荐算法工程师
北京
20-40K·15薪
在校/应届硕士
马女士算法工程师",北京
18-30K·16薪,"测试开发工程师（2021届）
北京
18-30K·16薪
在校/应届本科
贺女士Hr",北京
15-30K,"测试开发工程师
杭州·余杭区·五常
15-30K
在校/应届本科
沈先生测试专家",杭州·余杭区·五常
12-24K,"游戏研发工程师
合肥·蜀山区·大学城
12-24K
在校/应届学历不限
喻女士HRBP",合肥·蜀山区·大学城
16-22K,"2021届算法开发工程师（汽车电子）
杭州·滨江区·浦沿
16-22K
在校/应届硕士
李女士HRBP",杭州·滨江区·浦沿
500-1000元/天,"前端开发实习生（抖音）可转正
西安·未央区·三桥
500-1000元/天
3天/周3个月本科
胡女士前端工程师",西安·未央区·三桥
18-25K·16薪,"3D成像算法工程师
广州·黄埔区·科学城
18-25K·16薪
在校/应届硕士
刘女士视觉算法工程师",广州·黄埔区·科学城
15-25K,"FPGA工程师
北京·海淀区·五道口
15-25K
在校/应届学历不限
张先生研究室主任",北京·海淀区·五道口
15-25K·17薪,"射频算法工程师
北京·海淀区·西北旺
15-25K·17薪
在校/应届硕士
周女士HRBP",北京·海淀区·西北旺
18-30K·13薪,"机器学习/深度学习 2022届校招
北京·朝阳区·望京
18-30K·13薪
在校/应届硕士
张先生高级算法专家",北京·朝阳区·望京
20-35K,"算子开发工程师
北京·海淀区·北太平庄
20-35K
在校/应届硕士
王先生研发经理",北京·海淀区·北太平庄
20-40K·16薪,"研发工程师-开发/算法 (21校招)
上海·嘉定区·安亭
20-40K·16薪
在校/应届本科
郑女士Recruiter",上海·嘉定区·安亭
